Fecha,Total,Hombres,Mujeres,test
2020-01-01,3.658556112,3.499769284,3.736935811,1
2020-02-01,3.562984947,3.527394734,3.557566421,2
2020-03-01,3.294231901,3.21172665,3.384223566,3
2020-04-01,4.709943144,4.987360057,4.306653411,4
2020-05-01,4.287655951,5.223571454,2.790903024,5
2020-06-01,5.462551804,5.769461193,4.951540073,6
2020-07-01,5.028625478,4.655444799,5.698958915,7
2020-08-01,4.914048701,5.033099363,4.659487925,8
2020-09-01,4.805675422,5.105872904,4.307040573,9
2020-10-01,4.601586521,4.671072949,4.425744619,10
2020-11-01,4.543039343,4.916185109,4.01697267,11
2020-12-01,4.088236429,4.248014144,4.195092474,12
2021-01-01,4.543275534,4.511968353,4.350458907,13
2021-02-01,4.373268715,4.48821606,4.146071948,14
2021-03-01,4.426719881,4.464230946,4.300405905,15
2021-04-01,4.708424164,5.010373751,4.257694813,16
2021-05-01,4.101834925,4.13069879,4.045028091,17
2021-06-01,3.995865275,3.97756304,3.99890191,18
2021-07-01,4.10357539,4.028534802,4.287289892,19
2021-08-01,4.012279817,3.969378511,4.029391224,20
2021-09-01,3.929091347,3.80490043,4.123751079,21
2021-10-01,3.845639432,3.895296439,3.723639315,22
2021-11-01,3.855347922,3.695103486,4.099715304,23
2021-12-01,3.809392122,3.684382663,4.311876143,24
2022-01-01,3.574049548,3.626605219,3.317415843,25
2022-02-01,3.689622629,3.62636211,3.772156295,26
2022-03-01,3.407796429,3.450105423,3.297172865,27
2022-04-01,3.085658574,3.089152978,3.101072353,28
2022-05-01,3.363599893,3.276986651,3.496457347,29
2022-06-01,3.329341128,3.34311478,3.291345421,30
2022-07-01,3.211541485,3.26521397,3.187517749,31
2022-08-01,3.259694382,3.182741702,3.345268798,32
2022-09-01,3.137102958,3.062199919,3.24411026,33
2022-10-01,3.201150845,3.092106401,3.327638483,34
2022-11-01,3.004832294,2.904362438,3.147295603,35
